id	name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
169	Cape Verde	0.021954	0.021954	0.01829	0.014626	0.029253	0.025589	0.021984	0.01832	0.029282	0.036581	0.036581	0.03661	0.051266	0.062229	0.065952	0.076944	0.07328	0.080608	0.20854	0.24915	0.12091	0.032976	0.03664	0.03664	0.084272	0.084272	0.058624	0.080608	0.07328	0.080608	0.095264	0.098928	0.10626	0.10992	0.11358	0.12091	0.1429	0.14656	0.15755	0.1832	0.21618	0.2345	0.2748	0.30778	0.32976	0.43968	0.47266	0.50563	0.46899	0.52395	0.55693	0.61555	0.50563	0.4983	0.49098	0.49721	0.5322	0.59998
CAF	Central African Republic	0.087936	0.087936	0.07328	0.07328	0.07328	0.087936	0.084272	0.0916	0.1832	0.18686	0.20885	0.1832	0.16854	0.16122	0.11358	0.10259	0.12824	0.12824	0.14656	0.10259	0.10626	0.13557	0.1429	0.14656	0.15022	0.16122	0.16122	0.26014	0.23083	0.24915	0.19786	0.20518	0.21618	0.2235	0.2345	0.2345	0.2345	0.24549	0.24915	0.26381	0.26747	0.24549	0.24549	0.2345	0.2345	0.2345	0.24915	0.25282	0.25282	0.25282	0.26381	0.27846	0.29312	0.29678	0.30045	0.30346	0.31086	0.31073
TCD	Chad	0.05496	0.051296	0.084272	0.0916	0.098928	0.10626	0.084272	0.11725	0.12458	0.16122	0.12458	0.15022	0.12091	0.16122	0.15022	0.1832	0.1832	0.19786	0.19419	0.20152	0.20885	0.20885	0.20518	0.20518	0.21618	0.17954	0.18686	0.19786	0.065952	0.10259	0.1429	0.065952	0.084272	0.0916	0.10259	0.10992	0.12458	0.1429	0.15022	0.16122	0.17587	0.17221	0.16854	0.38106	0.37739	0.39938	0.4067	0.46166	0.5093	0.49098	0.51662	0.53861	0.59569	0.68057	0.70713	0.71346	0.72897	0.72871
CHL	Chile	13.4765	14.4582	16.7074	17.337	17.5051	17.7473	18.7725	19.2383	21.2022	22.5315	24.6358	27.057	28.1416	27.5923	25.8833	22.9514	24.0342	23.0242	22.8507	24.7409	25.1146	24.3661	20.4878	20.6892	22.0228	21.3121	22.0437	22.4353	26.6314	32.0532	32.9467	30.9422	32.0579	34.163	37.6424	41.0901	47.6285	55.4503	56.8072	60.9073	58.1137	52.5766	54.4903	54.8842	59.0475	60.9471	63.9716	70.7069	70.8187	65.9199	71.3298	78.0838	79.7039	81.676	80.9771	81.1612	86.128	84.6032
CHN	China	778.9795	550.9585	439.3421	435.5176	435.7037	474.6806	521.4589	432.2236	467.8056	575.9447	770.1672	874.0164	928.894	965.6466	985.0852	1142.1019	1190.9645	1304.4028	1455.2575	1487.1131	1458.8867	1442.7823	1570.4683	1655.8105	1802.3171	1951.7732	2052.242	2191.053	2347.7635	2386.885	2420.3021	2538.924	2657.1124	2835.7955	3010.2422	3265.057	3408.3466	3414.5493	3265.9026	3258.1349	3349.2948	3426.1441	3782.4393	4452.3103	5125.8944	5771.1684	6377.748	6861.7507	7375.1899	7758.8118	8500.5427	9388.1992	9633.8993	9796.5272	9820.3605	9716.4678	9704.4794	9838.754
COL	Colombia	16.3905	18.1963	19.4195	21.2328	21.6829	22.8587	23.4742	24.6868	26.5728	28.0163	28.3701	30.2819	31.4261	33.6322	36.3965	35.8114	37.983	39.2445	41.5393	44.2727	44.1808	44.2677	45.6884	49.2189	48.7127	48.0917	48.7688	50.1394	52.0359	52.8119	56.9167	56.6553	61.5003	63.3367	66.7095	58.6203	59.4585	63.7712	64.6137	55.0275	56.2157	55.2515	54.8532	56.7282	54.5514	60.2508	62.1974	61.5715	67.2265	71.8516	75.3004	75.7431	79.3503	89.0001	83.4155	86.0223	86.373	81.2268
160	Comoros	0.010992	0.010992	0.010992	0.010992	0.010992	0.014656	0.01832	0.01832	0.01832	0.01832	0.029312	0.029312	0.029312	0.029312	0.029312	0.032976	0.040304	0.040304	0.029312	0.021984	0.047632	0.047632	0.047632	0.047632	0.047632	0.047632	0.043968	0.047632	0.051296	0.051296	0.062288	0.065952	0.065952	0.069616	0.069616	0.07328	0.076944	0.080608	0.087936	0.0916	0.10259	0.10259	0.10259	0.1319	0.1429	0.13923	0.16122	0.10259	0.10626	0.1319	0.16122	0.13557	0.1429	0.17587	0.15389	0.16791	0.18137	0.18948
COD	"Congo, Democratic Republic of the"	0.2235	0.26747	0.23816	0.2345	0.26747	0.24549	0.30778	0.32243	0.45067	0.50197	0.57158	0.68517	0.66318	1.2201	1.6232	1.0992	1.2348	0.47998	0.32243	0.34808	0.40553	0.47072	1.3431	1.1425	1.1395	1.2752	1.0624	1.3201	1.4929	1.4956	1.1794	0.99483	1.2683	1.3085	2.1391	1.5558	1.71	2.3393	0.77677	0.82074	1.0458	0.76578	0.57525	0.916	0.94898	0.97145	1.1066	1.2013	1.2963	1.7316	1.9694	2.2485	2.9508	3.0578	3.0411	3.2284	3.3742	3.4097
COG	"Congo, Republic of the"	0.2235	0.26747	0.23816	0.2345	0.26747	0.24549	0.30778	0.32243	0.45067	0.50197	0.57158	0.68517	0.66318	1.2201	1.6232	1.0992	1.2348	0.47998	0.32243	0.34808	0.40553	0.47072	1.3431	1.1425	1.1395	1.2752	1.0624	1.3201	1.4929	1.4956	1.1794	0.99483	1.2683	1.3085	2.1391	1.5558	1.71	2.3393	0.77677	0.82074	1.0458	0.76578	0.57525	0.916	0.94898	0.97145	1.1066	1.2013	1.2963	1.7316	1.9694	2.2485	2.9508	3.0578	3.0411	3.2284	3.3742	3.4097
CRI	Costa Rica	0.49098	0.49098	0.5496	0.6009	0.67406	0.84591	0.99247	0.87525	1.0364	1.1462	1.2487	1.527	1.7613	2.0434	1.9041	2.0358	2.0819	2.6074	2.912	2.781	2.4485	2.2362	2.0706	2.0888	1.9809	2.2425	2.5775	2.7239	2.9059	2.9333	2.912	3.2873	3.7412	3.891	5.2003	4.8019	4.6867	4.9167	5.2355	5.439	5.3945	5.6659	6.2264	6.5285	6.798	6.6872	6.9653	7.8917	7.9105	7.6793	7.428	7.5844	7.607	7.4312	7.5871	8.1721	8.5657	8.695
